Title,Year
The Shawshank Redemption,1994
The Godfather,1972
Oppenheimer,2023
The Dark Knight,2008
Schindler's List,1336
12 Angry Men,-1957
The Lord of the Rings: The Return of the King,-2003
The Godfather Part II,-1974
Spider-Man: Across the Spider-Verse,-2023
Pulp Fiction,-1994
Inception,-2010
The Lord of the Rings: The Fellowship of the Ring,-2001
Fight Club,-1999
Forrest Gump,-1994
"The Good, the Bad and the Ugly",-1966
The Lord of the Rings: The Two Towers,-2002
Interstellar,-2014
Goodfellas,-1990
One Flew Over the Cuckoo's Nest,-1975
The Matrix,-1999
Star Wars: Episode V - The Empire Strikes Back,-1980
Saving Private Ryan,-1998
Se7en,-1995
The Silence of the Lambs,-1991
Terminator 2: Judgment Day,-1991
The Green Mile,-1999
Star Wars: Episode IV - A New Hope,-1977
Spirited Away,-2001
City of God,-2002
Life Is Beautiful,-1997
It's a Wonderful Life,-1946
Seven Samurai,-1954
Harakiri,-1962
The Departed,-2006
The Prestige,-2006
Gladiator,-2000
Back to the Future,-1985
Alien,-1979
Parasite,-2019
Whiplash,-2014
Léon: The Professional,-1994
The Usual Suspects,-1995
American History X,-1998
The Lion King,-1994
Casablanca,-1942
The Pianist,-2002
The Intouchables,-2011
Psycho,-1960
Once Upon a Time in the West,-1968
Grave of the Fireflies,-1988
Rear Window,-1954
Cinema Paradiso,-1988
Modern Times,-1936
City Lights,-1931
Raiders of the Lost Ark,-1981
Spider-Man: Into the Spider-Verse,-2018
Django Unchained,-2012
Avengers: Endgame,-2019
Joker,(I) (2019)
Aliens,-1986
Oldboy,-2003
Memento,-2000
The Dark Knight Rises,-2012
The Shining,-1980
Apocalypse Now,-1979
Avengers: Infinity War,-2018
Amadeus,-1984
Come and See,-1985
Your Name.,-2016
Coco,2017
WALL·E,-2008
3 Idiots,-2009
The Lives of Others,-2006
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,-1964
Capernaum,-2018
Das Boot,-1981
Sunset Blvd.,-1950
Paths of Glory,-1957
Witness for the Prosecution,-1957
High and Low,-1963
The Great Dictator,-1940
Inglourious Basterds,-2009
American Beauty,-1999
Requiem for a Dream,-2000
Good Will Hunting,-1997
Eternal Sunshine of the Spotless Mind,-2004
The Hunt,-2012
Braveheart,-1995
Once Upon a Time in America,-1984
2001: A Space Odyssey,-1968
Reservoir Dogs,-1992
Toy Story,-1995
Star Wars: Episode VI - Return of the Jedi,-1983
Princess Mononoke,-1997
Lawrence of Arabia,-1962
Toy Story 3,-2010
Citizen Kane,-1941
Singin' in the Rain,-1952
Ikiru,1952
